"","ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address3","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station","asking_price","predict","profitMargin","buy"
"67",5473,NA,NA,"S","N","F",NA,NA,NA,NA,"SE24","D",99,4,4.9,2.1,279,121,"Average","owner-occupied",51.456304,-0.104236,52,23,2,"herne hill","Thames Water",54000,"Lambeth","rail",0,1,0,0.276523,493000,815862.358479581,0.654893222068115,1
"68",13865,NA,NA,"F","N","L",NA,NA,NA,NA,"CR0","C",46,2,1.4,1.3,177,161,"Average","owner-occupied",51.370855,-0.100871,25,53,3,"george street","Thames Water",51400,"Croydon","light_rail",0,0,1,0.3865108,117000,193219.495613087,0.651448680453731,1
"69",1244,NA,NA,"T","N","F",NA,NA,NA,NA,"W10","C",101,4,2.9,1.4,178,90,"Average","owner-occupied",51.530548,-0.210219,125,36,2,"queens park","Thames Water",44500,"Kensington and Chelsea","tube",2,0,1,0.618293,788000,1300808.72123747,0.650772488880034,1
"70",13339,NA,NA,"F","N","L",NA,NA,NA,NA,"E17","D",66,3,2.6,1.5,221,128,"Good","owner-occupied",51.573422,-0.029392,115,10,3,"lea bridge","Thames Water",54700,"Waltham Forest","rail",0,1,0,0.7692932,228000,373100.863430778,0.636407295749029,1
"71",12265,NA,NA,"F","N","L",NA,NA,NA,NA,"NW8","C",47,2,1.3,1.2,157,146,"Average","rental (private)",51.527085,-0.170538,65,38,1,"edgware road (bakerloo)","Thames Water",39800,"Westminster","tube",2,0,0,0.5306756,323000,526118.006057711,0.628848315968144,1
"72",9712,NA,NA,"T","N","F",NA,NA,NA,NA,"SE8","D",117.45,5,5.3,4.1,271,208,"Poor","owner-occupied",51.468812,-0.017748,94,7,2,"elverson road","Thames Water",50700,"Lewisham","light_rail",0,0,1,0.0447408,498000,801138.903749412,0.608712658131349,1
"73",10603,NA,NA,"T","N","F",NA,NA,NA,NA,"N13","C",115,5,2.7,1.5,133,71,"Average","owner-occupied",51.614762,-0.118786,86,30,3,"bowes park","Thames Water",52200,"Enfield","rail",0,1,0,0.6549556,416000,667748.783631349,0.605165345267665,1
"74",1432,NA,NA,"F","N","L",NA,NA,NA,NA,"SW9","C",81,3,2.7,1.5,177,97,"Good","rental (private)",51.473122,-0.120544,99,10,2,"stockwell","Thames Water",54900,"Lambeth","tube",2,0,0,0.1932554,329000,528059.477015613,0.605044003086968,1
"75",9885,NA,NA,"S","N","F",NA,NA,NA,NA,"NW4","D",111,4,3.9,1.8,199,89,"Average","owner-occupied",51.595634,-0.214317,94,59,3,"hendon central","Thames Water",58700,"Barnet","tube",1,0,0,1.4503476,494000,791888.15174014,0.603012452915262,1
"76",1734,NA,NA,"F","N","L",NA,NA,NA,NA,"N11","D",55,2,2.6,1.5,271,155,"Average","owner-occupied",51.610373,-0.124961,89,42,3,"bounds green","Thames Water",50800,"Barnet","tube",1,0,0,0.2063048,206000,329636.09405674,0.600175213867668,1
"77",14168,NA,NA,"F","N","L",NA,NA,NA,NA,"NW2","D",97,4,4.6,4.4,267,257,"Average","owner-occupied",51.54739,-0.216048,64,62,2,"willesden green","Thames Water",50600,"Camden","tube",1,0,0,0.5617456,484000,772293.366261747,0.595647450954022,1
"78",4403,NA,NA,"F","N","L",NA,NA,NA,NA,"SW18","C",101,4,3.4,2,175,102,"Average","owner-occupied",51.4395,-0.182226,83,13,3,"earlsfield","Thames Water",62700,"Wandsworth","rail",0,1,0,0.3585478,450000,717798.770055452,0.595108377901004,1
"79",6990,NA,NA,"F","N","L",NA,NA,NA,NA,"SE20","E",44,2,4.6,2.5,599,324,"Average","owner-occupied",51.411126,-0.05382,50,47,3,"avenue road","Thames Water",55700,"Bromley","light_rail",0,0,1,0.304486,140000,220992.146643454,0.578515333167531,1
"80",10994,NA,NA,"F","N","L",NA,NA,NA,NA,"RM11","D",67,3,3.8,2.2,339,193,"Average","owner-occupied",51.576723,0.213661,99,30,6,"emerson park","Essex & Suffolk Water",52600,"Havering","light_rail",0,0,1,0.6437704,161000,253753.426551587,0.576108239450849,1
"81",2285,NA,NA,"F","N","L",NA,NA,NA,NA,"SW15","C",124,5,3.3,1.6,153,73,"Very Poor","owner-occupied",51.448886,-0.229633,88,56,3,"southfields","Thames Water",52500,"Kingston upon Thames","tube",1,0,0,1.5211872,531000,831292.089434323,0.565521825676691,1
"82",14259,NA,NA,"T","N","F",NA,NA,NA,NA,"CR4","C",149.04,5,4.8,3.4,194,136,"Good","owner-occupied",51.411954,-0.172232,71,17,3,"colliers wood","Thames Water",52500,"Merton","tube",1,0,0,0.7786142,585000,912096.903280962,0.559140005608481,1
"83",13625,NA,NA,"T","N","F",NA,NA,NA,NA,"HA0","D",80,5,4.3,0.9,309,65,"Good","owner-occupied",51.542706,-0.30331,116,37,4,"alperton","Affinity Water",51400,"Brent","tube",1,0,0,0.4269018,306000,472684.944439805,0.544722040652958,1
"84",3688,NA,NA,"F","N","L",NA,NA,NA,NA,"SW1P","D",194,5,6.6,2.8,193,83,"Very Poor","owner-occupied",51.496062,-0.140835,97,17,1,"victoria","Thames Water",57500,"Westminster","tube",3,1,0,0.201955,1861000,2867184.93792853,0.540668961810063,1
"85",13086,NA,NA,"S","N","F",NA,NA,NA,NA,"SW16","G",180,9,15,6.5,554,240,"Very Poor","owner-occupied",51.40949,-0.118841,173,40,3,"norbury","Thames Water",54100,"Croydon","rail",0,1,0,0.3119428,612000,938468.548864918,0.533445341282546,1
"86",8639,NA,NA,"F","N","L",NA,NA,NA,NA,"CR4","D",49.3,2,2.9,2.1,348,251,"Very Poor","rental (private)",51.397568,-0.175897,121,19,3,"mitcham","Thames Water",47500,"Merton","light_rail",0,0,1,0.3330704,157000,240646.516958399,0.532780362792351,1
"87",2133,NA,NA,"F","N","L",NA,NA,NA,NA,"SW14","C",75,3,2.3,1.5,172,116,"Average","owner-occupied",51.462636,-0.274936,44,20,3,"north sheen","Thames Water",68200,"Richmond upon Thames","rail",0,1,0,0.9314786,352000,539497.132203125,0.532662307395243,1
"88",4617,NA,NA,"S","N","F",NA,NA,NA,NA,"KT5","E",98,5,6.1,1.2,324,59,"Poor","owner-occupied",51.384997,-0.276262,44,29,5,"tolworth","Thames Water",72000,"Kingston upon Thames","rail",0,1,0,0.6406634,405000,620033.994814351,0.530948135344075,1
"89",5231,NA,NA,"F","N","L",NA,NA,NA,NA,"SW7","D",78,3,4,1.6,289,115,"Very Poor","rental (private)",51.494404,-0.18484,143,19,1,"gloucester road","Thames Water",70100,"Kensington and Chelsea","tube",3,0,0,0.1609426,850000,1300219.42786699,0.529669915137634,1
"90",2517,NA,NA,"S","N","F",NA,NA,NA,NA,"TW3","E",168,5,8.4,3.4,284,114,"Average","owner-occupied",51.462179,-0.364809,72,22,5,"hounslow","Thames Water",57400,"Hounslow","rail",0,1,0,0.226811,517000,790578.197278362,0.529164791640932,1
"91",4491,NA,NA,"F","N","L",NA,NA,NA,NA,"TW1","C",47,3,1.5,1.2,181,152,"Average","rental (private)",51.446133,-0.335105,14,12,5,"twickenham","Thames Water",70600,"Richmond upon Thames","rail",0,1,0,0.6095934,218000,333242.308983397,0.52863444487797,1
"92",11397,NA,NA,"F","N","L",NA,NA,NA,NA,"SE1","B",46,2,1.4,1.3,169,159,"Good","rental (private)",51.50217,-0.098875,34,9,1,"borough","Thames Water",56600,"Southwark","tube",1,0,0,0.360412,259000,395548.775661755,0.527215350045387,1
"93",14971,NA,NA,"D","N","F",NA,NA,NA,NA,"DA14","D",366,11,17,9.3,228,126,"Poor","owner-occupied",51.430012,0.092264,6,52,5,"sidcup","Thames Water",48100,"Bexley","rail",0,1,0,1.0545158,924000,1409206.85789848,0.525115647076274,1
"94",5548,NA,NA,"T","N","F",NA,NA,NA,NA,"N7","D",134,5,6,3.3,255,137,"Very Poor","owner-occupied",51.556467,-0.113922,75,30,2,"holloway road","Thames Water",58700,"Islington","tube",1,0,0,0.4126096,887000,1351370.1828264,0.523528954708458,1
"95",15656,NA,NA,"T","N","F",NA,NA,NA,NA,"E8","C",105,5,2.6,1,132,48,"Good","owner-occupied",51.545155,-0.070822,44,19,2,"dalston junction","Thames Water",56000,"Hackney","light_rail",0,0,1,0.3399058,580000,883590.315400539,0.523431578276791,1
"96",8346,NA,NA,"T","N","F",NA,NA,NA,NA,"SE15","D",69,3,2.9,0.8,218,60,"Good","owner-occupied",51.48242,-0.055424,77,4,2,"south bermondsey","Thames Water",43200,"Southwark","rail",0,1,0,0.5704452,337000,513381.514543298,0.523387283511271,1
